-31.26	-0.63	6.75
-2.79	-5.53	7.45
-7.65	-7.96	5.61
-23.5	-3.8	4.71
-15.61	-1.77	4.82
-0.9	-11.18	4.98
-14.12	-2	4.9
-13.02	-6.04	4.55
-15.26	-1.33	4.63
-8.08	-2.94	5.06
-10.51	-0.78	4.67
-10.36	0.51	4.98
-8.47	1.06	5.1
		
-4.59	1.69	5.49
-8.67	3.3	4.94
-10.9	1.22	4.82
-10.4	2.28	4.9
-8.04	2.2	3.53
-9.53	0.59	4.82
-10.24	1.53	4.63
-8.83	3.57	3.92
-11.77	-1.57	4.55
-7.96	-4.59	4.67
-13.22	0.75	4.79
-18.48	4.79	5.45
-7.41	-5.02	5.61
-9.06	-3.8	4.94
-14.67	4.59	6.47
-6	-4.2	6.83
-14.47	3.45	7.69
-2.31	-13.77	6
-12.08	-0.75	6.51
-6.63	-2.82	7.65
-5.53	-6.63	7.81
-5.73	-7.53	6.9
-8.98	-1.77	7.69
-16.32	13.06	9.61
-5.88	-6.55	7.88
-2.35	-6.86	7.85
0.67	8.43	9.3
-4.63	-2.24	9.53
-13.1	-5.57	9.02
2.67	14.32	10.16
3.69	7.06	9.45
-5.49	-2.55	10.12
0.43	2.9	9.14
-15.26	10.51	9.26
-14.83	11.81	10.12
8.71	-6.98	9.45
-5.49	4.86	11.18
-7.77	8.55	10.08
-3.06	2.04	9.14
-5.02	2.75	10.2
-12.51	8.51	9.22
4.75	-3.84	9.22
-8.08	7.85	9.96
-11.34	7.65	8.75
1.49	0.47	8.55
-10.55	9.22	8.98
-1.84	3.73	7.85
-11.57	8.04	7.49
-6.59	5.1	7.3
-5.37	3.33	7.18
-1.45	7.22	7.45
-15.93	8	6.67
-1.65	4.82	6.04
-2.16	8.08	6.28
-10.32	13.69	6
-10.79	10.55	5.37
-9.34	11.53	4.63
-11.06	13.26	5.3
-8.36	15.85	5.84
-8.39	12.43	5.37
-10.04	13.49	5.96
-8.79	13.73	6.24
0.35	16.12	6.08
-8.98	12.28	6.35
-18.12	8.47	6.75
7.14	15.42	8.47
-11.22	7.73	7.81
-13.73	11.22	9.22
10.32	14.36	8.32
-6	7.77	8.79
-28.71	0.24	10.4
-0.59	8.63	11.3
7.41	7.96	10.43
-19.06	3.96	11.3
-0.35	4.08	11.92
4.12	6.94	11.1
4.98	4.67	11.41
-3.84	4.86	12.55
-2.9	-0.55	12.79
-3.96	3.26	12.4
-0.67	-1.22	12.71
2.39	2.94	13.38
2.39	-0.71	12.2
-2.04	-9.92	10.32
-15.34	-1.88	11.92
-1.73	-1.96	12.12
-17.1	-2.39	11.45
5.81	-6.51	11.53
-0.51	-3.88	9.96
-17.89	-5.1	9.3
6.39	-10.59	8.87
-18.24	-5.06	7.45
-12.94	-8.2	7.41
-12.83	-5.1	8.12
-13.69	-9.65	6.51
-5.06	-9.18	6.24
-4.71	-11.85	4.82
-17.81	-6.28	5.53
-10.12	-6.47	5.49
-9.96	-5.06	5.37
-12.71	-6.35	5.14
-12.94	-1.92	5.26
-9.38	-2.98	5.02
-9.73	-2.39	4.75
-8.67	0	5.33
		
-7.06	2.59	4.67
-7.81	3.33	4.94
-8.16	3.41	4.98
-7.88	3.3	5.18
-8.2	2.86	5.18
-8.43	3.18	5.18
-8.55	2.16	5.1
-8.75	1.18	4.98
-9.53	1.92	4.9
-10.32	-1.37	4.43
-10.9	-0.08	4.79
-10.67	2.35	4.71
-11.53	1.14	4.71
-9.06	-1.06	5.33
-10.43	-0.43	4.47
-8.75	-1.33	4.94
-6.59	-7.88	4.67
-6.55	-4.94	4.94
-16.83	4.51	5.88
-10	2.04	6.98
-5.53	-4.59	4.94
-10.59	-0.43	6.83
-4.43	-6.08	6.94
-9.85	-1.96	7.14
-4.16	-9.41	6.75
-16.87	10.28	7.41
-17.85	12.28	8.94
3.06	-13.18	7.61
-1.84	-7.92	7.41
-3.69	-1.57	8.47
-3.49	-7.34	7.85
-12.24	5.73	8.63
4.86	-10.67	8.43
-4.39	-0.86	8.71
-13.3	7.45	8.67
1.49	-1.8	8.63
-20.16	16.71	10.71
3.33	-5.18	9.14
-0.94	-2.59	9.38
-10.36	9.49	9.41
-10.36	6.67	8.87
-0.78	0.35	9.26
-0.35	2.2	9.22
-3.14	5.33	9.14
-14.16	6.79	8.71
-2.04	2.47	7.77
-4.08	3.73	9.85
-11.69	7.14	7.92
6.32	-2.24	8.04
-11.1	7.18	8
-10.04	6.75	7.1
-2.08	3.33	7.88
-0.2	4.94	8.04
-5.84	4.39	6.9
-10.04	4.08	6.28
-2.08	3.02	6.83
-23.5	8.71	7.1
-3.77	2.2	6.32
-12.36	6.12	5.77
-9.34	5.18	6.2
-6.79	9.45	6.32
-14.87	12.59	5.06
-4.71	8.63	5.49
-11.02	13.1	5.06
-8.67	13.06	4.82
-9.34	12.36	5.1
-6.9	13.61	5.73
-6.51	12.4	5.81
-8.32	11.85	5.06
-3.49	14.59	5.88
-3.61	13.14	6.47
-5.33	11.61	6.75
-2	14.79	7.41
1.77	12.94	8.28
-24.4	3.33	7.14
3.37	10.47	9.65
1.41	9.73	7.53
13.53	4.63	9.61
-18.75	14.79	10.63
0.43	1.8	8.9
-8.63	11.85	11.65
-17.57	4.04	9.38
5.02	5.96	10.98
-2.79	0.51	11.65
2.43	5.02	11.73
-2.04	2.2	11.81
2.59	1.14	11.38
-4.63	3.06	11.34
6.59	0.55	10.9
6.28	2.28	11.92
10.63	-1.57	10
-17.46	-7.14	10.32
8.67	-7.14	12.2
-4.16	-1.22	9.53
-2.79	-3.26	10.28
-4.39	-10.67	10
-18.55	-2.04	8.87
-9.53	-4.98	8.67
-10.28	-3.45	8.94
-14.79	-6.83	8.12
-13.96	-2.08	7.69
-8.63	-5.33	8.32
-11.77	-1.45	5.81
-19.22	-2.35	6.59
-2.08	-6.71	6.75
-9.89	-6.79	4.94
-11.41	-1.61	5.61
1.14	-6.71	5.45
-14.83	-3.77	4.82
-15.65	0.51	4.86
-12.08	-1.88	4.67
-12.12	-0.82	5.84
-9.77	-3.41	4.51
-10	-2.47	4.28
