Samples, IMU-X,IMU-Y,IMU-Z,IMU Magnitude, ADXL-X,ADXL-Y,ADXL-Z,ADXL Magnitude
99, 6.82, 0.37, 8.03, 8.04, 11.45, 11.92, -7.85, 14.27
100, 5.89, -1.89, 10.50, 10.67, 12.55, 2.51, -8.55, 8.91
101, 7.59, 6.22, 11.43, 13.01, 13.89, 5.96, 4.39, 7.41
102, 6.91, 2.62, 8.27, 8.67, 15.93, -16.32, -20.48, 26.18
103, 9.02, -4.85, 5.18, 7.09, 14.75, 5.33, -6.83, 8.66
104, 6.94, -1.21, 4.72, 4.87, 11.38, -0.47, -4.47, 4.50
105, 7.30, 2.71, 3.46, 4.40, 14.75, 2.51, -7.92, 8.31
106, 7.79, 2.80, 8.58, 9.03, 11.38, 23.30, 1.57, 23.35
107, 9.30, 0.83, 12.47, 12.49, 19.53, -30.44, -8.16, 31.51
108, 8.41, 5.63, 1.46, 5.82, 11.38, 10.28, -3.53, 10.87
109, 7.37, 1.80, 8.68, 8.87, 10.28, 22.59, -4.55, 23.05
110, 6.83, -2.15, 9.39, 9.64, 15.22, -12.00, -14.59, 18.89
111, 6.72, 13.85, 2.30, 14.04, 9.65, 9.49, 1.33, 9.59
112, 6.91, 4.46, 6.94, 8.25, 8.94, 4.94, -9.26, 10.49
113, 8.90, -4.55, 4.74, 6.56, 16.32, -9.41, -12.63, 15.75
114, 6.93, 3.18, -0.50, 3.22, 13.96, 14.12, 2.35, 14.32
115, 4.72, 9.47, 9.65, 13.52, 16.16, 18.04, -2.82, 18.26
116, 10.25, 8.27, 3.35, 8.92, 22.99, 18.28, -17.50, 25.30
117, 7.54, -3.98, 8.35, 9.25, 14.20, 14.75, 9.41, 17.50
118, 6.56, 0.68, 10.43, 10.45, 17.57, -1.65, -8.24, 8.40
119, 10.03, -1.04, 2.04, 2.29, 17.34, -11.30, -6.98, 13.28
120, 10.87, -4.06, 2.28, 4.65, 15.14, 11.22, 7.53, 13.51
121, 7.33, -2.55, 10.29, 10.60, 14.59, 13.10, 22.91, 26.39
122, 7.71, 1.92, 6.76, 7.03, 14.75, 6.12, -6.51, 8.94
123, 7.93, 5.29, 6.32, 8.24, 14.98, 0.31, 3.06, 3.08
124, 8.30, 8.72, 6.59, 10.92, 13.26, -12.55, 8.00, 14.89
125, 8.03, 10.78, 16.47, 19.69, 19.22, 2.98, -13.18, 13.51
126, 10.58, 2.45, 5.83, 6.32, 15.77, 6.90, 7.92, 10.51
127, 8.22, -1.79, 6.54, 6.78, 22.28, 12.63, 15.38, 19.90
128, 11.16, -6.24, 10.86, 12.52, 17.18, -0.71, 4.31, 4.37
129, 9.53, -0.57, 1.49, 1.60, 16.55, 12.16, 5.65, 13.41
130, 5.92, 3.92, 13.25, 13.81, 13.49, 1.18, 7.77, 7.86
131, 8.91, 5.49, 8.81, 10.38, 19.14, 9.10, 9.65, 13.26
132, 9.83, 7.50, 15.26, 17.00, 15.06, 3.45, 7.53, 8.28
133, 8.18, -1.56, 2.51, 2.96, 17.34, 8.55, -8.55, 12.09
134, 9.16, 2.09, 12.73, 12.90, 13.73, 7.06, 14.44, 16.07
135, 9.20, 2.35, 4.00, 4.64, 13.26, -11.22, -9.81, 14.90
136, 8.55, -2.61, 3.69, 4.52, 16.95, 5.26, -8.32, 9.84
137, 7.60, -5.46, 2.58, 6.04, 12.16, -1.49, 4.71, 4.94
138, 7.67, 2.86, 5.87, 6.53, 19.77, -9.49, -0.39, 9.50
139, 12.05, -3.94, 5.30, 6.60, 14.98, -1.49, -5.49, 5.69
140, 8.63, -5.32, 7.62, 9.29, 12.08, -2.82, 19.53, 19.74
141, 7.15, -0.01, 11.59, 11.59, 15.14, -31.93, -36.25, 48.30
142, 12.11, -2.62, -1.46, 3.00, 16.55, -6.90, -22.28, 23.33
143, 10.81, -4.56, 13.11, 13.88, 11.22, -0.78, 16.63, 16.65
144, 6.34, -0.85, 4.06, 4.15, 22.28, -18.75, -14.75, 23.86
145, 9.04, 7.80, -8.91, 11.84, 10.98, 8.24, 2.75, 8.68
146, 7.20, 5.00, 5.38, 7.34, 13.42, -13.81, -19.46, 23.86
147, 4.78, -7.72, 7.32, 10.64, 22.20, -17.73, -33.89, 38.25
148, 7.43, 0.28, 5.47, 5.48, 10.36, 0.86, -10.67, 10.70
149, 6.93, 1.81, 6.17, 6.43, 11.45, -15.46, -19.61, 24.97
150, 7.16, -0.62, 0.19, 0.64, 9.73, -10.28, 7.85, 12.93
151, 9.64, -1.38, 6.40, 6.54, 8.47, -6.04, 7.61, 9.72
152, 9.87, 3.26, 10.36, 10.86, 14.83, -20.55, -22.28, 30.31
153, 6.15, 2.80, 15.74, 15.98, 5.18, -10.36, 20.79, 23.23
154, 5.63, 1.39, 12.24, 12.32, 17.26, 1.18, -41.19, 41.20
155, 4.48, 7.83, -7.47, 10.82, 5.96, -10.04, 11.30, 15.12
156, 6.78, -0.21, 15.61, 15.61, 11.61, -14.51, -14.75, 20.69
157, 9.02, 5.77, -5.85, 8.21, 7.61, -10.43, -5.57, 11.83
158, 4.91, 0.39, 19.09, 19.09, 6.20, -6.75, 6.83, 9.60
159, 7.57, 0.04, 6.51, 6.51, 3.37, -13.89, -16.40, 21.49
160, 5.66, 0.57, 4.87, 4.91, 7.30, -14.83, 9.10, 17.40
161, 6.72, -0.60, 15.51, 15.52, 11.06, -14.51, -18.36, 23.40
162, 5.96, 3.57, -0.21, 3.58, 12.32, -10.75, -14.98, 18.44
163, 6.35, 1.68, 6.79, 7.00, 8.16, -11.30, 0.00, 11.30
164, 6.84, 1.06, 9.64, 9.70, 9.89, -9.65, -11.30, 14.86
165, 7.10, 1.24, 6.58, 6.69, 8.39, -11.30, -7.06, 13.32
166, 7.47, -1.08, 9.08, 9.14, 10.04, -11.22, -6.67, 13.05
167, 6.99, -1.11, 8.66, 8.73, 9.41, -8.39, -7.22, 11.07
168, 7.05, -0.15, 8.57, 8.57, 8.71, -4.31, -6.75, 8.01
169, 7.17, 0.15, 7.32, 7.33, 9.81, -3.61, -7.85, 8.64
170, 6.97, -1.47, 7.80, 7.94, 9.34, -2.20, -7.06, 7.39
171, 7.21, -1.80, 8.76, 8.95, 9.73, -1.26, -8.16, 8.26
172, 6.73, -1.52, 8.90, 9.03, 9.02, 0.00, -6.90, 6.90
=
Samples, IMU-X,IMU-Y,IMU-Z,IMU Magnitude, ADXL-X,ADXL-Y,ADXL-Z,ADXL Magnitude
1, 6.79, 11.31, 1.84, 11.46, 9.18, -0.24, -8.16, 8.16
2, 6.29, 2.56, 7.53, 7.96, 9.02, 1.73, -8.39, 8.57
3, 6.07, 2.67, 6.50, 7.03, 9.02, 0.00, -6.98, 6.98
4, 6.49, -1.75, 6.39, 6.63, 9.26, -5.96, -4.55, 7.50
5, 7.90, -2.66, 5.93, 6.50, 9.10, -3.92, -6.59, 7.67
6, 6.90, -2.78, 10.48, 10.85, 9.41, -3.45, -6.90, 7.72
7, 6.70, -0.38, 8.72, 8.72, 9.02, -1.49, -8.24, 8.37
8, 6.14, 0.75, 9.84, 9.87, 8.39, -3.14, -7.30, 7.94
9, 6.83, -0.15, 8.36, 8.37, 9.10, -5.65, -5.65, 7.99
10, 6.71, -1.04, 8.06, 8.13, 9.26, -4.47, -4.31, 6.21
11, 7.33, 0.61, 7.51, 7.53, 10.04, -4.55, -6.98, 8.33
12, 6.75, 1.22, 7.21, 7.31, 8.71, -8.08, -6.04, 10.09
13, 6.87, 0.79, 8.07, 8.11, 9.49, -3.84, -6.12, 7.23
14, 7.19, -0.40, 9.39, 9.40, 9.41, -6.67, -9.02, 11.22
15, 6.25, -1.26, 10.95, 11.02, 9.41, -12.87, -5.41, 13.96
16, 7.81, -1.16, 6.41, 6.52, 9.73, -4.08, -9.96, 10.77
17, 6.99, 2.49, 5.63, 6.15, 10.59, -10.04, -1.49, 10.15
18, 6.88, -0.11, 8.39, 8.39, 9.89, -8.47, 1.49, 8.60
19, 7.26, 3.39, 5.25, 6.25, 9.89, -10.36, -9.02, 13.73
20, 7.68, 1.14, 6.32, 6.42, 12.32, 0.08, -9.49, 9.49
21, 6.16, -3.30, 8.91, 9.50, 10.51, -15.69, -2.43, 15.88
22, 6.95, -1.81, 11.25, 11.39, 13.10, 2.98, -2.43, 3.85
23, 6.18, 3.04, 10.57, 11.00, 9.10, -12.40, 5.33, 13.49
24, 7.10, 4.67, 6.24, 7.79, 10.75, 1.33, 0.08, 1.34
25, 5.61, 1.25, 8.79, 8.88, 10.51, -10.90, -6.67, 12.78
26, 6.70, -1.26, 10.05, 10.13, 10.75, -12.24, 0.78, 12.26
27, 7.45, 6.62, 6.85, 9.53, 11.69, -9.34, -10.20, 13.83
28, 7.87, 0.69, 9.72, 9.75, 5.81, -13.18, 13.42, 18.81
29, 5.77, 0.26, 12.40, 12.41, 13.89, -6.51, -1.10, 6.60
30, 6.51, 9.36, 5.14, 10.68, 10.04, -17.89, -0.86, 17.91
31, 8.18, -5.07, 15.00, 15.83, 7.53, -9.41, 10.04, 13.76
32, 7.54, 1.20, 10.21, 10.29, 13.65, -4.63, -15.38, 16.06
33, 5.63, 4.65, 11.66, 12.55, 8.63, -13.65, 10.67, 17.33
34, 7.71, -3.73, 9.72, 10.41, 16.87, -19.93, -6.98, 21.11
35, 11.21, 2.57, -3.24, 4.13, 10.12, -8.32, -18.20, 20.01
36, 10.06, -1.11, 6.21, 6.31, 11.06, 2.59, -12.40, 12.66
37, 9.36, -2.39, 12.46, 12.69, 10.28, -2.82, 0.00, 2.82
38, 5.92, 4.27, 11.58, 12.34, 8.00, -12.55, -2.51, 12.80
39, 6.42, 3.08, 2.17, 3.77, 11.92, -12.94, 0.71, 12.96
40, 6.44, -3.96, 19.07, 19.47, 10.83, -12.55, 7.77, 14.76
41, 7.15, -1.11, 8.11, 8.19, 21.10, 1.02, -29.18, 29.20
42, 7.76, 0.44, 5.00, 5.02, 11.92, 0.31, 13.10, 13.11
43, 5.63, 2.31, 15.86, 16.03, 14.75, -1.80, -22.91, 22.98
44, 6.85, 8.44, -7.44, 11.25, 5.10, -1.33, 5.49, 5.65
45, 8.33, -2.74, 10.46, 10.82, 10.98, -2.28, 20.16, 20.29
46, 8.89, 3.38, 8.19, 8.86, 23.38, -4.63, -30.05, 30.40
47, 8.72, -7.88, 8.66, 11.70, 10.36, -4.39, 7.30, 8.52
48, 9.15, -2.80, 5.30, 6.00, 14.44, 3.77, -11.85, 12.43
49, 5.30, -1.39, 9.64, 9.74, 13.65, -3.22, 0.00, 3.22
50, 8.15, -5.80, 12.30, 13.60, 12.55, -6.59, 12.40, 14.04
51, 10.10, -0.02, 4.44, 4.44, 17.02, 8.16, -15.38, 17.41
52, 5.50, 0.52, 0.72, 0.89, 13.57, -8.63, -12.79, 15.43
53, 7.14, 6.18, 9.51, 11.34, 22.75, -5.88, 4.79, 7.58
54, 8.36, -3.52, 0.60, 3.57, 23.22, 8.63, -10.67, 13.72
55, 5.15, 1.08, 7.80, 7.87, 13.65, -3.61, 4.79, 5.99
56, 7.31, 0.02, 5.54, 5.54, 15.77, -11.53, -4.94, 12.55
57, 3.74, 8.80, 0.34, 8.81, 13.42, -2.51, 5.26, 5.83
58, 6.82, -0.05, 9.37, 9.37, 12.00, 5.26, -1.41, 5.44
59, 8.97, -0.55, 6.67, 6.70, 21.10, -5.02, -22.75, 23.30
60, 6.57, 0.62, -0.16, 0.64, 12.63, 2.43, 10.90, 11.17
61, 8.61, 1.47, 8.49, 8.61, 13.18, 3.92, 4.39, 5.89
62, 7.29, 1.42, 5.99, 6.15, 15.61, -0.55, -4.39, 4.43
63, 12.58, 0.26, 10.25, 10.25, 11.77, 10.12, 7.53, 12.62
64, 7.32, -2.20, 13.19, 13.38, 13.49, -6.35, -24.09, 24.91
65, 11.13, 2.25, 4.10, 4.68, 12.00, -10.36, -11.53, 15.50
66, 8.09, 3.21, 13.12, 13.51, 14.59, 8.87, 10.12, 13.45
67, 7.46, 1.12, 6.08, 6.19, 15.61, 6.43, -12.87, 14.38
68, 9.20, 1.37, -1.09, 1.75, 14.59, -7.61, 3.45, 8.36
69, 9.33, 2.29, 5.64, 6.09, 13.02, 13.42, -3.84, 13.96
70, 7.48, 4.95, 13.36, 14.25, 14.20, 4.47, -22.36, 22.80
71, 8.14, -1.86, -4.81, 5.16, 16.87, -5.81, -15.14, 16.22
72, 9.64, -3.61, 12.60, 13.10, 16.32, 7.53, 6.67, 10.06
73, 8.75, 1.14, 6.67, 6.77, 14.83, -4.16, -32.17, 32.43
74, 7.30, -4.00, -5.72, 6.98, 12.71, -1.41, -3.77, 4.02
75, 8.30, -1.06, 5.78, 5.87, 6.75, 11.92, 12.55, 17.31
76, 6.51, 4.97, 14.80, 15.61, 21.03, 33.26, -18.51, 38.07
77, 5.50, 3.02, -3.56, 4.67, 13.34, 5.73, -3.22, 6.57
78, 8.96, -1.33, 9.63, 9.72, 12.79, -0.31, -13.49, 13.50
79, 8.75, -1.40, 4.46, 4.68, 11.30, 9.26, -2.51, 9.59
80, 7.93, 2.23, 11.26, 11.48, 11.53, 14.67, -2.67, 14.91
81, 5.54, 2.26, 7.84, 8.16, 11.45, 9.10, -14.51, 17.13
82, 6.49, -6.66, 4.55, 8.06, 10.28, 6.20, -2.90, 6.84
83, 8.31, 2.84, 9.91, 10.31, 11.45, 7.53, -8.32, 11.22
84, 8.12, 3.15, 6.91, 7.60, 9.89, 3.53, -9.73, 10.35
85, 8.34, 9.06, 19.00, 21.05, 6.75, 12.55, -2.82, 12.87
86, 8.15, -10.89, 14.19, 17.89, 13.10, -0.31, -16.55, 16.56
87, 8.23, 1.00, 3.36, 3.51, 10.67, 15.30, -8.79, 17.64
88, 5.77, 2.87, 8.65, 9.11, 11.92, 0.47, -23.22, 23.23
89, 7.87, -1.88, 3.73, 4.18, 9.34, 8.94, -7.53, 11.69
90, 6.23, 0.68, 11.77, 11.79, 8.79, 3.37, -14.44, 14.82
91, 6.47, 0.02, 8.23, 8.23, 10.51, 7.53, -15.93, 17.62
92, 6.78, 2.71, 8.65, 9.07, 9.34, 8.55, -11.30, 14.17
93, 6.49, -0.44, 7.27, 7.28, 9.89, 3.22, -13.89, 14.25
94, 6.66, 1.02, 8.71, 8.77, 9.18, 3.22, -15.77, 16.09
95, 6.87, 2.03, 8.53, 8.77, 9.73, 5.65, -13.42, 14.56
96, 6.45, 1.23, 8.80, 8.88, 10.12, 6.43, -13.81, 15.23
97, 6.33, 0.91, 8.25, 8.30, 9.81, 11.69, -9.49, 15.06
98, 6.39, 0.21, 8.18, 8.19, 10.51, 4.94, -14.91, 15.70
99, 7.11, -0.15, 9.86, 9.86, 11.85, 12.00, -8.79, 14.88
100, 7.09, 0.88, 8.01, 8.06, 9.02, 6.12, -10.36, 12.03
101, 7.62, 1.50, 6.35, 6.53, 11.61, 0.86, -13.26, 13.29
102, 7.09, 2.84, 8.02, 8.50, 5.88, 3.22, -9.57, 10.10
103, 6.96, -1.42, 8.19, 8.31, 13.34, -13.57, -18.04, 22.58
104, 6.98, -3.25, 5.06, 6.01, 11.22, 8.39, 1.96, 8.62
105, 6.29, 7.53, 13.06, 15.07, 6.67, 8.32, -6.20, 10.37
106, 6.06, 0.20, 5.27, 5.27, 12.55, 3.37, -12.94, 13.38
107, 8.45, 7.48, 10.86, 13.18, 10.59, 16.95, -1.49, 17.01
108, 5.08, 0.93, 6.38, 6.44, 11.45, 6.90, -1.02, 6.98
109, 7.02, -4.61, 6.31, 7.82, 14.04, -16.08, -11.85, 19.97
110, 7.65, 1.11, 5.65, 5.76, 11.77, 15.14, -7.77, 17.02
111, 9.39, -4.42, 6.89, 8.19, 10.28, 7.77, -5.33, 9.42
112, 3.77, 12.54, 18.22, 22.12, 14.04, 17.26, 2.82, 17.49
113, 6.98, -4.85, 13.11, 13.98, 12.24, 3.69, -7.14, 8.04
114, 9.39, -6.73, 1.43, 6.88, 12.08, 10.36, -7.53, 12.80
115, 7.44, 6.99, 11.77, 13.69, 7.61, 12.94, 3.14, 13.32
116, 6.64, 6.24, 10.19, 11.95, 15.69, 1.41, -14.51, 14.58
117, 9.95, 0.01, 2.53, 2.53, 17.18, 16.87, -1.26, 16.91
118, 6.03, 8.51, 10.07, 13.18, 12.16, 4.79, -7.22, 8.66
119, 6.48, 2.67, 1.61, 3.11, 20.16, -9.41, -17.65, 20.01
120, 9.57, -0.48, 4.24, 4.27, 13.81, 13.10, 9.10, 15.95
121, 7.80, 4.27, 7.78, 8.88, 13.02, 8.63, -2.98, 9.13
122, 6.74, 0.74, 6.59, 6.63, 14.98, -10.28, -9.18, 13.78
123, 8.33, -7.05, 7.59, 10.36, 17.10, 16.79, 5.96, 17.82
124, 8.39, 2.81, 12.94, 13.24, 14.75, -29.97, -11.45, 32.08
125, 9.83, 2.41, 4.32, 4.94, 12.55, 12.87, 1.88, 13.00
126, 6.64, 8.69, 9.65, 12.98, 13.10, 5.96, 3.69, 7.01
127, 8.17, -1.58, 12.26, 12.36, 14.98, 5.65, 0.71, 5.69
128, 11.70, 2.52, 8.26, 8.63, 12.87, 10.98, 4.00, 11.69
129, 10.22, 1.46, 8.37, 8.50, 15.14, -8.94, -3.37, 9.56
130, 5.42, 3.30, 3.10, 4.53, 19.53, -14.12, -10.59, 17.65
131, 7.29, -16.15, 10.02, 19.01, 15.85, 11.53, -1.10, 11.58
132, 7.81, -0.13, 4.92, 4.92, 10.75, 2.20, 5.18, 5.62
133, 6.51, 6.12, 11.57, 13.09, 15.06, 3.22, 19.69, 19.95
134, 6.47, -5.20, 2.25, 5.66, 13.89, 1.88, 1.49, 2.40
135, 9.33, 9.53, 2.93, 9.97, 17.18, -20.08, -6.75, 21.19
136, 10.30, 2.12, 3.08, 3.74, 10.43, 0.47, 20.08, 20.09
137, 5.95, 5.46, 19.19, 19.95, 10.51, 4.39, 12.00, 12.78
138, 6.54, -1.81, 6.97, 7.20, 19.06, -2.82, -11.53, 11.87
139, 6.47, 4.67, 5.23, 7.02, 12.40, 18.04, 13.49, 22.53
140, 6.43, 5.66, 18.79, 19.62, 15.69, -2.98, -21.10, 21.31
141, 6.80, 5.11, -6.02, 7.89, 12.16, 1.49, 0.63, 1.62
142, 7.57, 5.63, 15.42, 16.41, 10.98, 6.90, 16.40, 17.79
143, 7.95, 1.49, 6.60, 6.76, 9.96, -5.26, -2.28, 5.73
144, 5.63, -5.29, 18.62, 19.35, 10.59, -0.63, 16.40, 16.41
145, 8.58, -0.42, 12.27, 12.27, 12.87, -12.94, -14.12, 19.16
146, 7.47, -4.92, -0.02, 4.92, 9.41, 7.85, 7.22, 10.66
147, 6.32, 8.97, 18.12, 20.21, 7.69, 2.82, 5.18, 5.90
148, 4.87, -0.55, 4.10, 4.13, 15.38, -38.21, -6.28, 38.72
149, 6.94, 0.58, 7.13, 7.15, 10.04, 0.24, 11.85, 11.85
150, 6.23, 2.48, 11.25, 11.52, 15.06, -12.94, -5.10, 13.91
151, 9.40, 1.61, 3.66, 4.00, 15.46, -9.02, -20.16, 22.09
152, 8.59, -2.33, 10.52, 10.77, 10.51, -1.80, 6.51, 6.76
153, 6.50, -0.54, 2.71, 2.76, 9.57, -8.47, -10.59, 13.56
154, 8.20, 7.29, 8.16, 10.94, 10.28, 1.96, 4.08, 4.53
155, 6.91, 0.02, 17.31, 17.31, 11.22, -2.20, 3.77, 4.36
156, 8.71, 0.31, 6.43, 6.43, 10.28, -8.24, -13.02, 15.41
