IMU-X,IMU-Y,IMU-Z, ADXL-X,ADXL-Y,ADXL-Z
2.80, 4.64, 23.68, -12.24, -7.92, -4.94
9.80, -0.56, -24.69, 1.18, 19.53, 7.22
-7.88, 35.20, -39.09, 2.20, -1.33, -67.16
-0.71, -15.25, -7.32, 5.33, -7.45, 26.83
-16.66, 7.66, 17.43, 25.97, 160.59, -103.87
-7.94, 40.78, 9.27, 24.87, 1.10, -22.44
-5.94, -18.08, -27.64, 31.62, 73.51, -126.47
-6.66, 48.93, 8.04, 10.90, 24.40, -64.25
-11.38, -15.61, -1.22, 23.77, -30.68, -33.58
5.67, -9.28, -21.13, 1.18, -30.20, 8.94
-7.59, 22.33, 28.93, -4.79, -1.26, 15.22
-8.65, -10.58, -0.32, 10.20, 3.06, 10.98
4.24, -8.12, -12.48, 4.94, 11.14, 25.89
7.31, -1.58, 51.42, 9.81, 2.28, 22.67
19.49, -2.67, 13.85, 34.52, -4.16, 46.37
-0.12, 42.90, 50.54, 8.39, -84.02, -99.48
-2.31, 16.85, 28.54, 68.96, 43.46, 45.03
-1.98, -0.29, 20.33, -5.57, -5.26, 24.79
1.44, 30.30, 107.55, 3.53, -47.70, -17.57
10.00, -10.69, 56.66, -16.08, 15.93, 4.86
30.45, -16.22, 21.54, -1.49, 30.60, 22.44
20.91, 3.07, -4.04, 16.32, 4.63, 9.26
19.50, 29.93, 51.50, 46.05, -96.18, -53.82
1.67, -34.15, 14.70, 90.06, -7.22, -77.75
11.71, -16.80, -16.00, -63.39, -28.01, -8.71
20.98, -3.96, -28.33, 13.96, 65.27, -129.68
4.17, -21.39, 34.37, -34.36, 15.14, 9.34
6.74, 17.90, 46.81, -56.80, 9.02, 1.26
-1.36, -3.40, 13.17, 50.45, 5.49, -32.64
24.74, 2.12, -27.33, 4.24, 15.69, 29.18
9.94, -13.71, -7.48, 20.79, 7.92, -29.97
4.07, -7.02, -36.53, 22.52, -22.36, 10.36
7.21, 9.00, -4.17, 134.94, 7.45, -160.67
-3.49, -0.03, 13.10, 8.00, 10.59, 5.96
7.86, 6.20, 14.14, 25.42, -45.50, 45.82
15.45, 17.71, -44.04, -0.71, 27.54, 1.26
9.67, 32.31, -0.73, -26.67, -9.57, 46.84
-2.50, -4.41, -14.84, 41.82, -84.89, 58.13
-0.49, -14.68, -2.04, -117.52, -55.47, 42.13
20.10, 8.96, -15.27, 3.77, -1.33, -120.43
-27.46, -13.51, 24.80, -7.45, 13.49, -160.67
-27.12, -4.23, 36.92, 15.22, 10.51, 13.81
6.91, -9.93, -0.92, -8.87, -32.17, -77.04
-16.48, -0.22, 89.05, -12.55, 39.15, -11.85
32.96, -12.82, 2.92, 3.14, -8.24, -24.16
23.99, 13.78, 25.71, 96.89, -76.81, -50.76
-26.85, -6.46, -15.10, 84.18, 15.69, 65.51
4.17, 0.54, -12.21, 10.67, 3.84, -4.47
18.15, -1.79, 30.21, -4.71, -13.10, -9.49
-4.34, -4.69, 9.03, 111.72, -107.95, -47.70
-16.39, 22.55, 7.00, -2.43, -17.57, -20.01
14.37, 1.52, 25.18, 23.54, -19.38, -33.81
-4.03, 9.06, 14.50, 26.91, -10.36, -23.38
-2.36, -4.62, 0.55, 21.97, 5.81, 3.77
9.72, -3.96, -22.07, 7.22, -6.43, -27.93
6.72, -4.61, 13.19, 13.89, -16.63, -24.95
4.31, 6.96, 16.37, 12.47, 2.35, -1.88
4.49, -1.49, 5.02, 5.57, 8.39, -4.24
4.64, 2.27, 7.79, 12.55, 14.91, 1.33
2.94, 5.91, 11.70, 11.38, 7.53, -9.34
7.35, -4.17, 3.39, 6.83, 0.08, -12.55
=
IMU-X,IMU-Y,IMU-Z, ADXL-X,ADXL-Y,ADXL-Z
14.43, 1.79, 4.81, 8.39, -5.65, -5.02
4.18, 3.27, 10.13, 7.61, -6.59, -5.57
5.44, 2.76, 7.36, 8.00, -5.18, -4.16
5.62, 3.46, 9.00, 7.92, -5.41, -3.45
5.65, 2.70, 8.40, 8.32, -6.75, -4.63
6.22, 2.60, 8.12, 9.10, -7.06, -4.79
6.73, 2.41, 7.87, 8.55, -6.98, -5.33
6.25, 2.90, 7.82, 8.87, -6.51, -4.94
6.33, 2.59, 7.84, 8.55, -5.65, -4.94
6.06, 2.67, 7.56, 8.39, -5.10, -4.16
5.91, 2.04, 7.65, 7.69, -4.71, -3.06
5.48, 1.82, 8.16, 8.00, -4.79, -3.06
5.83, 2.44, 8.70, 8.39, -6.04, -2.75
6.16, 2.03, 8.53, 8.87, -7.06, -3.84
6.48, 1.42, 8.74, 9.02, -7.45, -3.22
6.72, 1.33, 8.80, 9.41, -6.98, -3.77
6.64, 2.37, 8.17, 9.73, -5.33, -5.02
6.57, 3.32, 7.49, 9.26, -4.71, -6.20
6.50, 3.20, 7.29, -61.51, 69.12, 103.95
27.97, 53.73, -71.63, 8.08, 3.61, 33.58
-13.17, 6.54, 13.88, 31.70, 4.79, 62.13
10.00, -10.78, 18.71, 6.20, -2.82, -11.92
7.11, 7.03, 17.64, 12.79, -7.92, -12.55
5.81, 1.70, 5.31, 11.69, -9.41, -6.43
7.86, -0.88, 8.52, 7.85, -6.90, -1.41
5.90, 1.90, 8.26, 6.90, -2.51, 3.06
6.00, 4.65, 9.19, 7.22, -1.33, 0.08
5.48, 2.63, 7.99, 7.61, -4.08, -2.98
5.81, 2.70, 5.98, 24.63, -33.89, -19.61
4.81, 9.27, -6.16, 9.10, -5.88, -26.05
5.43, 2.67, 11.58, 4.39, -2.90, -6.20
7.34, 1.45, 1.19, 16.24, -27.22, -29.97
1.94, 6.12, 14.38, 16.63, 4.71, -45.11
3.44, 15.85, 5.74, 17.57, -8.63, 12.55
0.97, 6.22, 10.02, 1.02, 0.63, 17.18
6.61, -5.68, 0.43, 4.08, 5.10, 12.79
3.78, 2.32, 14.36, 2.43, -11.61, 12.24
3.17, 7.43, 31.51, 1.10, -8.00, -2.35
5.06, 12.55, 21.70, 4.39, -30.83, -136.19
4.27, -22.42, 22.49, 8.47, -2.98, -21.65
3.47, 6.66, -1.63, 14.67, 9.26, 29.18
4.44, -3.11, -9.66, 2.51, -2.04, 19.77
2.06, 3.07, 9.12, 2.51, -3.69, -40.25
11.44, -12.68, -1.04, 0.47, 18.99, 36.64
10.25, -9.25, -27.85, 16.24, 6.67, -16.32
15.98, -10.89, -12.26, 30.52, -40.40, 26.44
15.35, -19.82, 13.46, 6.98, 5.02, 18.99
9.58, -3.84, 3.92, 2.75, 10.28, 31.62
7.01, -16.06, -4.13, 11.14, -3.61, 7.77
1.10, 17.08, 25.02, -5.57, 14.44, 28.64
11.93, -0.91, 3.57, 1.88, 10.98, 35.77
9.62, -8.88, 16.87, 5.33, -24.79, 18.44
9.99, 8.30, 32.02, 3.06, 10.28, 16.95
19.38, 7.38, 4.46, 3.77, -2.67, 25.03
7.04, 9.56, 55.32, 10.90, 10.59, 44.40
-5.07, -8.16, 22.66, -86.53, 24.16, 45.90
11.12, -7.94, -56.37, -4.79, 15.61, 51.31
5.28, 20.17, -8.96, -4.86, -21.26, 43.15
8.12, -23.64, 8.48, 15.46, 20.48, 69.59
-0.55, 47.15, 34.82, -25.11, 27.30, 21.97
11.34, -26.05, 3.47, 3.06, -10.51, 27.54
23.85, 0.05, -27.07, -6.28, 15.46, -4.08
10.69, -6.94, 30.90, 0.63, -12.00, -25.11
11.18, 19.42, 43.79, -160.67, -7.22, -42.68
7.72, 15.55, 10.25, 13.02, 14.75, -2.82
1.16, 3.10, 59.13, 0.78, 14.36, 10.90
7.72, -7.44, -16.97, 10.59, 4.24, -37.11
-1.74, 16.37, 27.47, 1.10, -25.65, 71.47
19.31, -20.85, -1.79, 32.24, 91.87, -8.87
10.15, 59.71, -39.03, 27.85, 26.05, 38.76
14.17, -5.91, 6.56, -3.61, -32.17, -46.05
16.67, 33.07, 12.71, 14.59, -3.53, 8.00
12.83, -0.44, 4.49, -43.78, -101.05, 152.43
15.52, 17.17, -39.32, 2.90, -16.55, 47.23
7.12, -6.18, -10.87, 12.00, 6.28, -5.73
6.90, 11.01, -11.10, 14.83, 1.26, -9.89
7.71, -0.07, 0.13, 8.00, -6.20, 17.57
7.07, -0.07, 13.79, 30.13, 8.08, -160.67
16.55, -60.00, 26.81, -36.79, 78.85, 98.22
2.44, -36.51, -77.88, 6.98, 44.40, -107.48
6.03, -22.93, 20.46, 6.20, 29.81, 34.68
-2.39, 29.36, 23.23, 9.18, 0.00, 5.02
9.38, -3.70, 1.31, 8.94, -2.35, -1.80
30.83, -8.36, 9.40, -11.92, -22.99, 8.55
17.76, 17.90, 59.91, -74.69, 13.34, 71.08
5.49, 7.85, -14.11, -3.69, -18.99, 145.84
18.46, -3.98, -26.38, -21.10, 8.55, 26.28
8.81, -19.97, 6.91, -42.91, 60.17, -90.61
6.43, 63.07, -25.50, 28.56, -14.51, -20.08
14.05, -10.97, 6.25, -14.28, -25.73, -74.14
11.32, 1.53, -25.11, -29.81, -5.02, 39.46
13.19, -7.92, -10.52, 128.35, 9.57, 76.49
9.88, -3.07, -22.89, 16.32, 13.49, 45.19
6.49, -0.95, -8.43, -3.53, -28.09, -17.73
-7.13, -0.88, 13.00, 39.38, 31.30, -46.44
20.40, 32.54, 13.40, 24.16, 30.60, 9.26
11.06, 5.33, -16.71, -44.95, 43.38, 5.02
5.29, 32.26, 0.85, 2.12, 2.82, 22.28
10.86, 13.20, 20.03, 35.70, 12.71, 38.36
1.41, 21.32, -22.84, 10.36, -160.67, -139.10
-12.45, 23.31, 13.19, -4.00, -13.10, 41.50
16.93, -18.79, 12.68, 1.57, 3.22, 12.55
8.81, 1.72, 44.52, -4.39, -3.45, 4.71
0.22, 21.80, 54.39, 46.68, -31.30, 35.15
7.23, -14.98, -31.66, 15.38, 18.99, 27.85
14.46, -28.07, 8.80, 10.59, -26.83, 48.09
19.67, -19.37, 38.30, 17.42, -17.50, -1.33
4.02, 11.56, 11.04, 7.45, -28.79, -160.67
5.21, 13.11, 20.93, 9.49, -4.94, 10.28
1.94, 3.61, -20.62, 5.18, -13.89, 63.00
4.36, 1.80, 9.46, -8.32, 4.39, -52.41
8.57, 12.63, 73.37, 160.59, -71.08, -160.67
-19.17, 38.52, -49.42, 24.09, -0.78, -8.24
26.87, 2.96, 14.88, -74.30, 23.61, 54.52
8.97, -39.14, -3.56, 15.93, -9.10, -7.22
4.72, -20.42, -4.40, -21.97, -16.24, -53.27
15.52, 8.62, -10.50, -60.02, 13.65, 53.27
4.79, 12.77, -24.97, 16.87, 4.71, -43.93
9.17, -6.27, 12.61, -2.20, 37.58, -9.96
1.58, 20.48, 16.01, -21.34, -5.10, 40.32
3.64, -5.36, 19.51, 18.51, -23.22, -34.36
0.00, -30.45, 41.66, 27.85, 8.63, 41.03
19.04, -12.31, -8.12, 15.06, 2.43, 32.24
2.29, 2.38, -10.11, 9.73, -48.48, -34.83
0.68, -20.22, 23.08, 16.08, -4.08, 33.34
15.37, 4.87, -5.89, -30.52, 16.71, 58.60
11.92, -23.85, -7.58, 14.44, 19.53, -79.00
-5.03, 36.18, 55.09, -12.08, -46.44, -106.07
4.60, -31.19, 18.99, 25.65, -108.81, -160.67
5.48, 17.54, -7.15, -4.24, 19.14, 16.00
10.18, -17.11, -12.42, 23.77, 143.10, -79.24
10.78, 58.94, -10.42, 20.79, -17.57, 0.16
6.83, 0.37, 7.59, 6.28, -6.90, -37.89
11.43, -11.24, 33.23, 4.08, 24.48, -5.26
25.23, 2.45, 20.41, 18.91, -53.35, 18.75
10.16, 25.81, 12.75, 16.71, -56.02, 13.81
1.78, 21.25, -0.92, 3.14, 26.99, -77.04
4.13, -8.76, -35.26, 8.00, 6.67, -12.94
-14.00, 22.93, 21.72, 160.59, 42.91, 129.76
-6.44, 11.00, -54.35, 67.63, -49.35, -50.99
4.14, 38.84, -5.49, 81.75, -48.72, -48.88
-3.42, 34.96, 6.06, -10.90, -30.52, -45.03
3.47, 5.10, 49.17, 26.99, 20.08, 10.28
20.48, -10.06, 3.25, 3.45, 5.57, -160.67
11.13, -27.72, 15.09, 14.75, -7.61, 12.24
4.39, -23.29, -14.29, 15.69, 47.70, 0.78
0.03, -31.55, 8.31, 34.99, 26.44, 25.81
5.09, 13.10, -9.29, 35.23, -55.70, 4.71
3.99, 14.80, 0.93, 0.24, 9.34, 23.85
47.63, 0.77, 15.21, -25.18, -7.14, 18.44
34.43, -5.65, -17.72, 12.47, 4.94, 54.45
11.47, -7.40, 12.84, 36.09, -117.68, -45.19
-1.51, 12.52, -3.18, -14.98, 3.45, 18.83
10.03, -6.02, -33.47, -12.71, -3.22, -12.55
18.11, -20.51, -63.63, 50.99, 42.91, 73.35
-3.81, -1.36, 11.88, -6.43, 45.90, -10.43
-4.02, 16.37, 24.11, -22.67, 27.62, -9.57
-14.60, 14.18, -2.58, -4.31, 15.06, 13.02
2.97, -14.07, -18.71, -10.20, 2.82, 60.57
7.83, -5.83, 17.31, 160.59, 17.02, 69.59
-7.86, -7.26, -20.40, -82.38, 39.78, 43.62
16.97, 4.37, -14.34, 22.12, 1.10, 24.71
25.59, -6.57, -23.19, 7.69, 17.26, 29.81
7.77, 8.22, 9.16, 0.47, 6.51, -128.11
-9.33, 6.34, 47.99, 2.51, 14.91, -21.34
6.56, -2.28, 1.94, 5.73, -4.79, 0.39
10.06, 15.51, 44.99, 7.69, 11.61, 0.00
8.44, 18.74, 10.18, 7.53, 17.57, -5.02
6.19, 5.02, 8.27, 8.32, -6.51, -55.39
0.30, 2.59, 16.39, 7.77, -3.45, -8.32
9.20, 0.35, 13.58, 9.89, 4.63, -11.85
5.71, 0.97, 7.91, 8.16, 1.57, -10.67
5.72, 4.05, 8.22, 7.37, 1.80, -8.87
6.12, 2.94, 12.56, 9.49, 2.12, -7.06
8.51, 2.84, 9.28, 5.33, -3.37, -11.61
6.25, 1.08, 13.09, 10.83, -4.63, -11.61
9.43, 5.64, 2.53, 9.34, 6.90, -2.59
7.03, -0.54, 10.18, 10.36, 6.12, -9.26
7.51, 7.27, 6.65, 12.55, 9.41, -7.61
8.15, 3.95, 10.36, 8.47, 7.22, -8.55
=
IMU-X,IMU-Y,IMU-Z, ADXL-X,ADXL-Y,ADXL-Z
9.06, 4.24, 8.73, 8.94, -8.94, -5.88
5.03, 1.16, 8.72, 8.55, -8.55, -3.92
5.90, 2.15, 7.38, 7.85, -7.14, -4.08
5.83, 2.09, 8.84, 8.39, -6.35, -3.37
5.72, 2.74, 8.97, 8.00, -6.67, -4.71
5.79, 3.32, 8.55, 8.87, -6.04, -4.55
6.07, 2.86, 8.66, 8.16, -6.12, -4.55
5.63, 3.16, 8.06, 8.94, -6.67, -4.71
6.16, 2.82, 7.87, 9.18, -7.61, -5.73
6.12, 2.11, 7.47, 8.32, -8.55, -5.49
5.99, 1.24, 7.67, 9.02, -7.92, -4.39
5.98, 1.63, 8.09, 7.61, -6.67, -4.94
5.56, 1.90, 8.12, 8.47, -6.20, -4.71
5.61, 2.00, 8.21, 7.85, -5.33, -4.31
5.50, 2.54, 8.39, 8.08, -5.18, -5.41
5.87, 2.76, 8.54, 22.91, 153.77, -78.69
44.26, 1.89, -0.06, 32.87, -18.99, 45.82
-10.77, 6.16, 16.84, -21.10, -70.61, 11.92
9.74, 24.74, 13.60, 5.18, -2.43, -9.96
1.93, 12.95, 16.22, 15.61, -19.06, -0.71
5.45, 2.73, 7.20, 8.08, -10.51, -5.18
6.75, -3.03, 3.04, 10.28, -10.12, -3.06
6.57, -0.31, 5.99, 5.96, 2.43, 4.08
4.80, 6.48, 12.89, 5.02, 4.00, 2.51
4.88, 5.51, 8.48, 100.89, -3.06, -152.20
-5.02, 4.09, 10.48, 7.22, -7.53, -14.51
4.11, 7.23, 3.50, 7.22, -3.06, -1.57
5.90, -2.72, 14.99, 7.22, -11.45, -1.26
6.34, -0.80, 9.17, 6.43, -7.06, 2.43
8.09, 1.43, 3.38, 10.12, -4.79, -1.88
4.36, 2.56, 3.85, 7.45, -1.33, -94.85
1.60, -10.97, 16.61, 8.79, -7.53, -11.69
7.74, 1.16, 12.31, 4.79, -3.61, 2.59
5.99, 4.64, 9.99, 2.82, -2.82, 1.57
8.71, -3.55, -8.85, 5.57, -1.02, 12.47
7.23, -1.45, 9.42, 6.51, -4.63, 5.96
11.71, 5.40, 28.33, 6.98, -2.51, 9.41
9.32, 2.50, 1.94, 5.88, 13.18, -25.42
-0.94, 3.70, 6.12, 9.57, -21.65, -10.12
2.20, 12.19, -3.53, 7.53, -7.85, 12.47
3.93, 6.40, 17.34, 13.18, -8.16, 15.77
2.57, 1.83, 4.16, 31.30, -10.90, -29.66
-2.29, 34.31, 21.88, 6.59, 5.41, 16.24
3.69, -1.61, 9.00, 2.28, -9.10, 8.47
1.89, 9.48, 27.63, 6.98, -5.26, -17.97
2.81, -0.68, 28.25, 7.22, -31.30, 23.22
-3.66, 12.41, 6.43, 11.06, -1.10, 13.89
2.38, 3.33, -15.26, 20.55, -12.08, 22.59
5.19, 0.88, -7.79, -12.87, -11.69, 80.41
8.52, -2.59, -22.28, 21.42, -47.78, -129.92
1.81, -2.18, 33.59, -2.75, -7.37, -68.41
9.64, -12.44, 14.01, 20.95, -8.79, -1.26
18.51, -10.04, -12.52, -3.14, 6.51, 35.70
10.70, -11.69, 5.92, 11.30, -5.49, 33.66
10.00, 2.40, 18.42, 1.96, -16.63, 29.89
6.05, 7.74, 42.63, 5.02, -0.86, -33.42
-13.11, 4.88, -2.95, 29.97, -40.95, 45.27
11.86, -5.49, -26.66, -34.99, -46.13, 75.63
11.46, -25.20, -9.68, 21.42, -7.30, -86.61
17.55, -35.37, -13.73, 87.79, -36.25, 32.87
14.72, -14.37, -18.56, -0.39, -40.64, -27.77
1.14, 6.13, -35.53, 19.61, 10.67, 43.86
17.23, -17.22, -0.29, 147.73, -8.79, 15.61
3.88, 4.65, -13.57, 50.84, -36.25, -27.30
-4.57, 43.28, 7.76, -18.51, -66.53, -11.30
5.57, -7.21, -18.47, 33.73, -18.59, 5.57
15.96, 15.48, -6.87, 12.55, -20.32, 18.83
4.85, 7.06, 13.06, 15.06, -12.79, 20.48
7.93, 28.30, 30.15, -46.52, -29.11, 5.18
5.30, 5.72, -45.09, -29.42, 16.08, 13.57
14.31, -0.47, -6.26, -3.84, -5.57, 31.54
-2.71, 8.31, 15.24, 22.52, 0.47, -37.89
0.98, 12.12, 27.08, -18.91, -4.16, -59.00
11.84, 3.30, -16.28, 46.76, -37.81, 81.67
21.78, 0.65, 13.03, 10.51, 8.79, -13.89
11.17, -8.45, 4.24, -21.10, -11.14, -54.29
5.07, -37.11, -1.69, 22.20, 35.85, -10.04
9.57, 20.85, -9.96, -1.02, -11.30, 27.77
2.08, 20.71, 70.92, -61.04, -23.85, 39.54
10.20, -8.89, -58.14, 3.77, -8.24, 33.26
0.15, 1.46, 28.32, 5.33, 1.96, 37.03
9.67, -23.29, -25.54, -22.28, 55.47, 9.65
-2.37, 4.49, 14.62, -53.82, 24.71, 42.36
5.90, -33.78, -9.18, 7.30, -34.05, 26.05
3.20, 9.36, 12.24, 1.10, -29.73, 50.05
5.29, 2.79, 77.18, -3.84, -4.31, 26.44
-0.88, -17.91, 12.87, 5.73, 69.43, -160.67
9.55, 33.21, -37.99, 13.57, -6.43, -36.17
20.10, -4.91, 12.05, 92.89, 105.44, -75.63
3.91, 1.91, 11.80, -0.39, -26.05, 60.80
3.86, 36.37, -10.24, 11.14, 3.53, 50.68
6.96, 46.87, -22.42, -24.32, 5.41, 22.67
7.70, -15.32, 29.96, -18.28, 3.77, 47.62
6.07, -18.23, -10.91, -30.13, 9.02, 38.05
0.82, -14.29, 11.88, -13.96, 27.62, 45.58
